date,Bioenergy,Hydro,Other fossil,Other renewables,Solar,Wind
2019-01,0.01,0.28,0.1,0.42,0.01,0.15
2019-02,0.01,0.25,0.09,0.37,0.01,0.15
2019-03,0.01,0.28,0.09,0.45,0.01,0.14
2019-04,0.02,0.19,0.16,0.4,0.01,0.14
2019-05,0.01,0.24,0.1,0.43,0.01,0.16
2019-06,0.02,0.27,0.13,0.41,0.01,0.09
2019-07,0.01,0.27,0.12,0.44,0.01,0.12
2019-08,0.01,0.25,0.12,0.43,0.01,0.15
2019-09,0.01,0.23,0.09,0.45,0.01,0.15
2019-10,0.01,0.27,0.06,0.49,0.01,0.14
2019-11,0.01,0.3,0.06,0.48,0.01,0.11
2019-12,0.01,0.36,0.06,0.46,0.01,0.05
2020-01,0.01,0.36,0.05,0.48,0.01,0.09
2020-02,0.01,0.34,0.05,0.43,0.01,0.1
2020-03,0.01,0.36,0.05,0.46,0.01,0.09
2020-04,0.0,0.3,0.03,0.41,0.01,0.09
2020-05,0.01,0.32,0.05,0.39,0.01,0.11
2020-06,0.01,0.33,0.05,0.42,0.01,0.09
2020-07,0.01,0.36,0.05,0.43,0.01,0.11
2020-08,0.01,0.36,0.06,0.42,0.01,0.12
2020-09,0.01,0.36,0.08,0.38,0.01,0.14
2020-10,0.01,0.37,0.07,0.44,0.01,0.12
2020-11,0.01,0.39,0.05,0.4,0.01,0.15
2020-12,0.01,0.4,0.07,0.39,0.01,0.13
2021-01,0.01,0.33,0.06,0.46,0.01,0.14
2021-02,0.01,0.28,0.09,0.42,0.01,0.11
2021-03,0.01,0.31,0.05,0.46,0.01,0.2
2021-04,0.01,0.31,0.05,0.42,0.01,0.16
2021-05,0.02,0.37,0.1,0.39,0.01,0.13
2021-06,0.01,0.32,0.07,0.41,0.01,0.18
2021-07,0.02,0.29,0.11,0.46,0.01,0.15
2021-08,0.01,0.27,0.09,0.45,0.02,0.19
2021-09,0.01,0.26,0.09,0.44,0.02,0.19
2021-10,0.02,0.31,0.1,0.39,0.02,0.2
2021-11,0.02,0.29,0.12,0.38,0.02,0.2
2021-12,0.02,0.34,0.14,0.35,0.03,0.13
2022-01,0.03,0.32,0.18,0.31,0.03,0.16
2022-02,0.03,0.24,0.19,0.3,0.03,0.12
2022-03,0.02,0.24,0.15,0.41,0.04,0.2
2022-04,0.02,0.23,0.11,0.44,0.03,0.18
2022-05,0.01,0.28,0.07,0.52,0.03,0.15
2022-06,0.01,0.26,0.07,0.49,0.03,0.18
2022-07,0.01,0.25,0.09,0.52,0.02,0.21
2022-08,0.02,0.26,0.1,0.51,0.02,0.19
2022-09,0.02,0.24,0.1,0.49,0.03,0.2
2022-10,0.01,0.25,0.08,0.48,0.04,0.24
2022-11,0.02,0.23,0.11,0.49,0.04,0.18
2022-12,0.02,0.22,0.12,0.54,0.04,0.14
2023-01,0.02,0.19,0.09,0.52,0.05,0.2
2023-02,0.02,0.11,0.12,0.47,0.04,0.19
2023-03,0.02,0.13,0.14,0.51,0.04,0.15
2023-04,0.02,0.19,0.1,0.48,0.04,0.16
2023-05,0.01,0.24,0.08,0.51,0.04,0.18
2023-06,0.01,0.26,0.06,0.5,0.04,0.17
2023-07,0.02,0.28,0.09,0.49,0.04,0.2
2023-08,0.01,0.26,0.08,0.52,0.04,0.19
2023-09,0.02,0.25,0.11,0.51,0.04,0.14
2023-10,0.02,0.21,0.12,0.51,0.04,0.18
2023-11,0.01,0.29,0.06,0.5,0.04,0.16
2023-12,0.01,0.27,0.06,0.5,0.04,0.09
2024-01,0.02,0.25,0.07,0.51,0.04,0.14
2024-02,0.02,0.26,0.06,0.45,0.04,0.16
2024-03,0.02,0.29,0.06,0.44,0.04,0.2
2024-04,0.02,0.36,0.07,0.42,0.04,0.08
2024-05,0.02,0.35,0.07,0.44,0.04,0.1
2024-06,0.02,0.32,0.06,0.42,0.04,0.16
2024-07,0.03,0.36,0.08,0.47,0.03,0.13
2024-08,0.02,0.32,0.07,0.48,0.03,0.16
2024-09,0.02,0.27,0.07,0.46,0.04,0.19
2024-10,0.03,0.28,0.08,0.49,0.04,0.18
2024-11,0.02,0.27,0.08,0.5,0.04,0.16
2024-12,0.03,0.29,0.08,0.47,0.04,0.15
