quarter,Bioenergy,Hydro,Other fossil,Other renewables,Solar,Wind
2019-Q1.0,0.01,0.28,0.1,0.42,0.01,0.15
2019-Q1.3333333333333333,0.01,0.25,0.09,0.37,0.01,0.15
2019-Q1.6666666666666665,0.01,0.28,0.09,0.45,0.01,0.14
2019-Q2.0,0.02,0.19,0.16,0.4,0.01,0.14
2019-Q2.333333333333333,0.01,0.24,0.1,0.43,0.01,0.16
2019-Q2.666666666666667,0.02,0.27,0.13,0.41,0.01,0.09
2019-Q3.0,0.01,0.27,0.12,0.44,0.01,0.12
2019-Q3.3333333333333335,0.01,0.25,0.12,0.43,0.01,0.15
2019-Q3.6666666666666665,0.01,0.23,0.09,0.45,0.01,0.15
2019-Q4.0,0.01,0.27,0.06,0.49,0.01,0.14
2019-Q4.333333333333334,0.01,0.3,0.06,0.48,0.01,0.11
2019-Q4.666666666666666,0.01,0.36,0.06,0.46,0.01,0.05
2020-Q1.0,0.01,0.36,0.05,0.48,0.01,0.09
2020-Q1.3333333333333333,0.01,0.34,0.05,0.43,0.01,0.1
2020-Q1.6666666666666665,0.01,0.36,0.05,0.46,0.01,0.09
2020-Q2.0,0.0,0.3,0.03,0.41,0.01,0.09
2020-Q2.333333333333333,0.01,0.32,0.05,0.39,0.01,0.11
2020-Q2.666666666666667,0.01,0.33,0.05,0.42,0.01,0.09
2020-Q3.0,0.01,0.36,0.05,0.43,0.01,0.11
2020-Q3.3333333333333335,0.01,0.36,0.06,0.42,0.01,0.12
2020-Q3.6666666666666665,0.01,0.36,0.08,0.38,0.01,0.14
2020-Q4.0,0.01,0.37,0.07,0.44,0.01,0.12
2020-Q4.333333333333334,0.01,0.39,0.05,0.4,0.01,0.15
2020-Q4.666666666666666,0.01,0.4,0.07,0.39,0.01,0.13
2021-Q1.0,0.01,0.33,0.06,0.46,0.01,0.14
2021-Q1.3333333333333333,0.01,0.28,0.09,0.42,0.01,0.11
2021-Q1.6666666666666665,0.01,0.31,0.05,0.46,0.01,0.2
2021-Q2.0,0.01,0.31,0.05,0.42,0.01,0.16
2021-Q2.333333333333333,0.02,0.37,0.1,0.39,0.01,0.13
2021-Q2.666666666666667,0.01,0.32,0.07,0.41,0.01,0.18
2021-Q3.0,0.02,0.29,0.11,0.46,0.01,0.15
2021-Q3.3333333333333335,0.01,0.27,0.09,0.45,0.02,0.19
2021-Q3.6666666666666665,0.01,0.26,0.09,0.44,0.02,0.19
2021-Q4.0,0.02,0.31,0.1,0.39,0.02,0.2
2021-Q4.333333333333334,0.02,0.29,0.12,0.38,0.02,0.2
2021-Q4.666666666666666,0.02,0.34,0.14,0.35,0.03,0.13
2022-Q1.0,0.03,0.32,0.18,0.31,0.03,0.16
2022-Q1.3333333333333333,0.03,0.24,0.19,0.3,0.03,0.12
2022-Q1.6666666666666665,0.02,0.24,0.15,0.41,0.04,0.2
2022-Q2.0,0.02,0.23,0.11,0.44,0.03,0.18
2022-Q2.333333333333333,0.01,0.28,0.07,0.52,0.03,0.15
2022-Q2.666666666666667,0.01,0.26,0.07,0.49,0.03,0.18
2022-Q3.0,0.01,0.25,0.09,0.52,0.02,0.21
2022-Q3.3333333333333335,0.02,0.26,0.1,0.51,0.02,0.19
2022-Q3.6666666666666665,0.02,0.24,0.1,0.49,0.03,0.2
2022-Q4.0,0.01,0.25,0.08,0.48,0.04,0.24
2022-Q4.333333333333334,0.02,0.23,0.11,0.49,0.04,0.18
2022-Q4.666666666666666,0.02,0.22,0.12,0.54,0.04,0.14
2023-Q1.0,0.02,0.19,0.09,0.52,0.05,0.2
2023-Q1.3333333333333333,0.02,0.11,0.12,0.47,0.04,0.19
2023-Q1.6666666666666665,0.02,0.13,0.14,0.51,0.04,0.15
2023-Q2.0,0.02,0.19,0.1,0.48,0.04,0.16
2023-Q2.333333333333333,0.01,0.24,0.08,0.51,0.04,0.18
2023-Q2.666666666666667,0.01,0.26,0.06,0.5,0.04,0.17
2023-Q3.0,0.02,0.28,0.09,0.49,0.04,0.2
2023-Q3.3333333333333335,0.01,0.26,0.08,0.52,0.04,0.19
2023-Q3.6666666666666665,0.02,0.25,0.11,0.51,0.04,0.14
2023-Q4.0,0.02,0.21,0.12,0.51,0.04,0.18
2023-Q4.333333333333334,0.01,0.29,0.06,0.5,0.04,0.16
2023-Q4.666666666666666,0.01,0.27,0.06,0.5,0.04,0.09
2024-Q1.0,0.02,0.25,0.07,0.51,0.04,0.14
2024-Q1.3333333333333333,0.02,0.26,0.06,0.45,0.04,0.16
2024-Q1.6666666666666665,0.02,0.29,0.06,0.44,0.04,0.2
2024-Q2.0,0.02,0.36,0.07,0.42,0.04,0.08
2024-Q2.333333333333333,0.02,0.35,0.07,0.44,0.04,0.1
2024-Q2.666666666666667,0.02,0.32,0.06,0.42,0.04,0.16
2024-Q3.0,0.03,0.36,0.08,0.47,0.03,0.13
2024-Q3.3333333333333335,0.02,0.32,0.07,0.48,0.03,0.16
2024-Q3.6666666666666665,0.02,0.27,0.07,0.46,0.04,0.19
2024-Q4.0,0.03,0.28,0.08,0.49,0.04,0.18
2024-Q4.333333333333334,0.02,0.27,0.08,0.5,0.04,0.16
2024-Q4.666666666666666,0.03,0.29,0.08,0.47,0.04,0.15
